Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,MediaLink Entertainment Limited,Shoujo
Ookami to Koushinryou,311,216,8.23,375082.0,775149,17416,TV,13,Finished Airing,Winter,2008,Victor Entertainment,
Ookami to Koushinryou,311,216,8.23,375082.0,775149,17416,TV,13,Finished Airing,Winter,2008,Pony Canyon,
Ookami to Koushinryou,311,216,8.23,375082.0,775149,17416,TV,13,Finished Airing,Winter,2008,Movic,
Ookami to Koushinryou,311,216,8.23,375082.0,775149,17416,TV,13,Finished Airing,Winter,2008,Kadokawa Pictures Japan,
Great Teacher Onizuka,55,217,8.69,381150.0,773314,24807,TV,43,Finished Airing,Summer,1999,Aniplex,Shounen
Great Teacher Onizuka,55,217,8.69,381150.0,773314,24807,TV,43,Finished Airing,Summer,1999,Fuji TV,Shounen
FLCL,542,218,8.03,411709.0,772855,28378,OVA,6,Finished Airing,,2000,Starchild Records,
FLCL,542,218,8.03,411709.0,772855,28378,OVA,6,Finished Airing,,2000,GANSIS,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Madhouse,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,VAP,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Dentsu,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Yomiuri Telecasting,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Kadokawa Shoten,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Toho,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Hiroshima Television,
Dragon Ball Super,1972,220,7.43,496400.0,770981,9749,TV,131,Finished Airing,Summer,2015,Yomiko Advertising,Shounen
Dragon Ball Super,1972,220,7.43,496400.0,770981,9749,TV,131,Finished Airing,Summer,2015,Fuji TV,Shounen
Higurashi no Naku Koro ni,747,221,7.89,378418.0,770156,20533,TV,26,Finished Airing,Spring,2006,Geneon Universal Entertainment,
Higurashi no Naku Koro ni,747,221,7.89,378418.0,770156,20533,TV,26,Finished Airing,Spring,2006,Frontier Works,
Higurashi no Naku Koro ni,747,221,7.89,378418.0,770156,20533,TV,26,Finished Airing,Spring,2006,Sotsu,
Higurashi no Naku Koro ni,747,221,7.89,378418.0,770156,20533,TV,26,Finished Airing,Spring,2006,DAX Production,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Aniplex,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Dentsu,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Fuji TV,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Kyoraku Industrial Holdings,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Kansai Telecasting,
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,Aniplex,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,Mainichi Broadcasting System,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,Magic Capsule,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,Shueisha,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,JR East Marketing & Communications,Seinen
Free!,2356,224,7.34,422662.0,765953,9386,TV,12,Finished Airing,Summer,2013,Lantis,
Free!,2356,224,7.34,422662.0,765953,9386,TV,12,Finished Airing,Summer,2013,Iwatobi High School Swimming Club,
Free!,2356,224,7.34,422662.0,765953,9386,TV,12,Finished Airing,Summer,2013,Asahi Broadcasting,
High School DxD BorN,1979,225,7.43,485501.0,761458,3837,TV,12,Finished Airing,Spring,2015,Genco,
High School DxD BorN,1979,225,7.43,485501.0,761458,3837,TV,12,Finished Airing,Spring,2015,Lantis,
High School DxD BorN,1979,225,7.43,485501.0,761458,3837,TV,12,Finished Airing,Spring,2015,Movic,
