Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Durarara!!,444,82,8.11,641713.0,1344821,29625,TV,24,Finished Airing,Winter,2010,Action,
Durarara!!,444,82,8.11,641713.0,1344821,29625,TV,24,Finished Airing,Winter,2010,Mystery,
Durarara!!,444,82,8.11,641713.0,1344821,29625,TV,24,Finished Airing,Winter,2010,Supernatural,
Bakemonogatari,219,83,8.33,700998.0,1337589,47643,TV,15,Finished Airing,Summer,2009,Mystery,
Bakemonogatari,219,83,8.33,700998.0,1337589,47643,TV,15,Finished Airing,Summer,2009,Romance,
Bakemonogatari,219,83,8.33,700998.0,1337589,47643,TV,15,Finished Airing,Summer,2009,Supernatural,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,73,84,8.63,875460.0,1334237,12432,Movie,1,Finished Airing,,2020,Action,Shounen
Kimetsu no Yaiba Movie: Mugen Ressha-hen,73,84,8.63,875460.0,1334237,12432,Movie,1,Finished Airing,,2020,Fantasy,Shounen
Haikyuu!! Second Season,71,85,8.64,881099.0,1333257,15418,TV,25,Finished Airing,Fall,2015,,Shounen
Ansatsu Kyoushitsu 2nd Season,126,86,8.5,828303.0,1331481,17144,TV,25,Finished Airing,Winter,2016,Action,Shounen
Ansatsu Kyoushitsu 2nd Season,126,86,8.5,828303.0,1331481,17144,TV,25,Finished Airing,Winter,2016,Comedy,Shounen
Tensei shitara Slime Datta Ken,414,87,8.14,788451.0,1298451,26869,TV,24,Finished Airing,Fall,2018,Action,
Tensei shitara Slime Datta Ken,414,87,8.14,788451.0,1298451,26869,TV,24,Finished Airing,Fall,2018,Adventure,
Tensei shitara Slime Datta Ken,414,87,8.14,788451.0,1298451,26869,TV,24,Finished Airing,Fall,2018,Comedy,
Tensei shitara Slime Datta Ken,414,87,8.14,788451.0,1298451,26869,TV,24,Finished Airing,Fall,2018,Fantasy,
Hyouka,488,88,8.08,603867.0,1291982,25989,TV,22,Finished Airing,Spring,2012,Mystery,
Hyouka,488,88,8.08,603867.0,1291982,25989,TV,22,Finished Airing,Spring,2012,Slice of Life,
Vinland Saga,45,89,8.73,719140.0,1289350,39681,TV,24,Finished Airing,Summer,2019,Action,Seinen
